timestamp,open,high,low,close,volume,returns,volatility,sma_24h,ema_12h,rsi,macd,hour,day_of_week,month
2023-05-29 11:06:18.471485,40033.61,40586.74,40036.79,40080.04,15046.0,0.0,0.0,40593.95,40080.04,50.0,0.0,11,0,5
2023-05-29 12:06:18.471485,40399.67,41190.84,40205.15,40411.96,47427.0,0.008213,0.0,40593.95,40259.83,50.0,7.45,12,0,5
2023-05-29 13:06:18.471485,39728.05,40208.03,39565.85,39685.68,7044.0,-0.018301,0.0,40593.95,40035.74,50.0,-13.03,13,0,5
2023-05-29 14:06:18.471485,41099.57,41351.35,40600.33,41060.89,9317.0,0.033492,0.0,40593.95,40359.34,50.0,27.62,14,0,5
2023-05-29 15:06:18.471485,39262.24,39775.55,38956.43,39217.26,24026.0,-0.047011,0.0,40593.95,40049.04,50.0,-24.23,15,0,5
2023-05-29 16:06:18.471485,41056.36,41113.5,40678.04,40996.05,8061.0,0.043389,0.0,40593.95,40279.21,50.0,21.12,16,0,5
2023-05-29 17:06:18.471485,40199.51,40813.55,40324.24,40345.53,3824.0,-0.016124,0.0,40593.95,40294.01,50.0,20.37,17,0,5
2023-05-29 18:06:18.471485,40988.06,41320.77,40487.24,40936.41,5661.0,0.014434,0.0,40593.95,40428.07,50.0,47.64,18,0,5
2023-05-29 19:06:18.471485,40652.61,40926.75,40100.94,40634.2,18565.0,-0.007437,0.0,40593.95,40468.85,50.0,50.8,19,0,5
2023-05-29 20:06:18.471485,40620.21,41284.27,40410.43,40682.52,41871.0,0.001188,0.0,40593.95,40509.34,50.0,54.8,20,0,5
2023-05-29 21:06:18.471485,40813.8,40899.85,40696.05,40803.16,43499.0,0.002957,0.0,40593.95,40563.1,50.0,63.34,21,0,5
2023-05-29 22:06:18.471485,40935.48,41382.8,40370.17,40946.48,111560.0,0.0035,0.0,40593.95,40631.26,50.0,76.62,22,0,5
2023-05-29 23:06:18.471485,40419.12,41111.92,40316.93,40421.21,27552.0,-0.012995,0.0,40593.95,40594.79,50.0,55.78,23,0,5
2023-05-30 00:06:18.471485,41077.31,41225.52,40389.07,41059.87,32234.0,0.015555,0.0,40593.95,40673.98,55.4,76.47,0,1,5
2023-05-30 01:06:18.471485,39796.15,40175.42,39527.55,39963.97,21849.0,-0.027422,0.0,40593.95,40555.04,49.43,26.06,1,1,5
2023-05-30 02:06:18.471485,40539.39,41048.4,40320.69,40513.08,20441.0,0.013554,0.0,40593.95,40548.11,50.49,20.79,2,1,5
2023-05-30 03:06:18.471485,40989.55,41556.86,40188.91,40924.51,194141.0,0.010053,0.0,40593.95,40609.61,56.15,41.98,3,1,5
2023-05-30 04:06:18.471485,41071.48,41279.71,40930.72,41047.1,29460.0,0.002987,0.0,40593.95,40680.42,49.92,65.41,4,1,5
2023-05-30 05:06:18.471485,40700.83,41066.82,40283.09,40773.34,33298.0,-0.006714,0.0,40593.95,40695.34,60.73,65.07,5,1,5
2023-05-30 06:06:18.471485,40232.23,40915.2,39820.61,40318.55,7799.0,-0.01128,0.0,40593.95,40635.24,44.29,34.37,6,1,5
2023-05-30 07:06:18.471485,41068.33,41284.37,41019.48,41050.11,39121.0,0.017821,0.0,40593.95,40701.04,55.86,58.64,7,1,5
2023-05-30 08:06:18.471485,40365.29,40821.78,39793.73,40284.98,50626.0,-0.018993,0.0,40593.95,40635.37,44.73,25.41,8,1,5
2023-05-30 09:06:18.471485,41654.88,41655.92,40947.48,41524.01,86806.0,0.029839,0.0,40593.95,40775.08,56.25,83.51,9,1,5
2023-05-30 10:06:18.471485,40650.38,40907.67,39835.35,40573.9,51046.0,-0.023417,0.020754,40593.95,40743.56,49.32,62.34,10,1,5
2023-05-30 11:06:18.471485,39899.68,40397.37,39283.51,39848.51,22937.0,-0.018204,0.021095,40584.3,40603.71,44.47,-5.28,11,1,5
2023-05-30 12:06:18.471485,39793.93,40416.55,39660.17,40048.18,19521.0,0.004986,0.021048,40569.15,40517.12,44.83,-43.83,12,1,5
2023-05-30 13:06:18.471485,40581.59,40658.59,39949.34,40642.95,23494.0,0.014634,0.020916,40609.03,40536.69,51.27,-31.2,13,1,5
2023-05-30 14:06:18.471485,40757.84,41057.56,40438.38,40726.55,25022.0,0.002053,0.019729,40595.1,40566.18,47.97,-15.01,14,1,5
2023-05-30 15:06:18.471485,41568.74,41876.85,40924.33,41636.75,95354.0,0.02186,0.017564,40695.91,40732.19,60.44,63.41,15,1,5
2023-05-30 16:06:18.471485,40046.08,40220.4,39461.57,40139.09,88408.0,-0.037312,0.017082,40660.21,40640.33,47.91,15.12,16,1,5
2023-05-30 17:06:18.471485,40564.62,40678.29,40179.83,40670.86,52881.0,0.013075,0.016999,40673.76,40645.05,48.6,16.12,17,1,5
2023-05-30 18:06:18.471485,40387.58,40247.7,39933.94,40211.1,186739.0,-0.011434,0.016877,40643.54,40577.97,45.56,-17.13,18,1,5
2023-05-30 19:06:18.471485,40378.26,41277.3,40029.28,40508.25,1660.0,0.007336,0.016897,40638.29,40567.2,48.6,-20.92,19,1,5
2023-05-30 20:06:18.471485,41546.04,42190.63,40814.15,41567.27,17447.0,0.025477,0.017696,40675.16,40721.58,56.22,55.22,20,1,5
2023-05-30 21:06:18.471485,40128.91,40957.29,39689.91,40201.7,29178.0,-0.033968,0.019049,40650.1,40641.37,46.03,11.92,21,1,5
2023-05-30 22:06:18.471485,40938.53,41119.09,40335.68,41024.91,13503.0,0.020066,0.019506,40653.37,40700.52,53.45,39.82,22,1,5
2023-05-30 23:06:18.471485,40986.35,41412.4,40662.99,40945.2,8862.0,-0.001947,0.019318,40675.2,40738.24,46.98,55.17,23,1,5
2023-05-31 00:06:18.471485,40748.21,40733.65,40428.17,40665.91,4227.0,-0.006868,0.019092,40658.78,40727.1,50.52,45.37,0,2,5
2023-05-31 01:06:18.471485,40773.17,40912.78,40681.62,40890.86,17021.0,0.005501,0.018243,40697.4,40752.33,56.2,54.3,1,2,5
2023-05-31 02:06:18.471485,40069.13,40437.5,39670.26,40063.88,64970.0,-0.020641,0.018536,40678.69,40646.28,50.09,-2.51,2,2,5
2023-05-31 03:06:18.471485,41493.73,42041.62,41146.5,41505.08,64343.0,0.034723,0.019796,40702.88,40778.54,54.36,63.5,3,2,5
2023-05-31 04:06:18.471485,41603.08,41701.24,40936.76,41648.3,10739.0,0.003439,0.019799,40727.93,40912.47,54.64,125.46,4,2,5
2023-05-31 05:06:18.471485,40612.13,41002.7,40613.83,40705.5,33812.0,-0.023161,0.020334,40725.1,40880.61,45.33,99.86,5,2,5
2023-05-31 06:06:18.471485,41991.62,41956.28,41416.68,41880.76,109639.0,0.028062,0.020983,40790.19,41034.57,59.02,169.49,6,2,5
2023-05-31 07:06:18.471485,40305.05,40701.09,40082.43,40408.45,6572.0,-0.036436,0.02203,40763.46,40938.2,48.76,108.03,7,2,5
